link_#,course_id,crosslist,duplicate,corequisite,preparation,prerequisite,similar_mooc
1428,GSBA 534,,GSBA 504,,"GSBA 516, GSBA 506, GSBA 545, GSBA 524",,"csr01888, csr01039, csr00308, csr00879, csr01868, csr00465"
1429,GSBA 543,,"GSBA 522, GSBA 543, GSBA 533, GSBA 532",,,,
1430,GSBA 519,,"GSBA 540, GSBA 529",,,,
1431,GSBA 544,,"GSBA 549, GSBA 526",,,,
1432,GSBA 506,,"GSBA 516, GSBA 545, GSBA 524",,,,
1433,GSBA 522,,"GSBA 543, GSBA 532",,,,
1434,GSBA 550,,"BAEP 549, GSBA 586, BAEP 550, BAEP 551",,,,"csr02002, csr02002, csr01399, csr01432, csr01420, csr00854, csr01424, csr01417, csr01381, csr01980"
1435,GSBA 581,,GSBA 581,,,,csr00910
1436,GSBA 582,,"GSBA 580, GSBA 582",,GSBA 582,,"csr00676, csr00774, csr02099, csr00677, csr00775"
1437,GSBA 505,,"GSBA 516, GSBA 506, GSBA 511, GSBA 510, GSBA 545, GSBA 524",,,GSBA 501,csr01392
1438,GSBA 535,,"BAEP 549, GSBA 586, GSBA 550, BAEP 550, BAEP 551",,,GSBA 505,
1439,GSBA 537,,"GSBA 504, GSBA 543, GSBA 518, GSBA 522, GSBA 534, GSBA 536, GSBA 533, GSBA 532",,,GSBA 505,
1440,GSBA 538,,"GSBA 548, GSBA 506, GSBA 511, GSBA 509, GSBA 528, GSBA 534, GSBA 521",,,"GSBA 505, GSBA 509",
1441,GSBA 539,,"GSBA 548, GSBA 540, GSBA 580, GSBA 519, GSBA 529, GSBA 521",,,GSBA 505,"csr02099, csr00706"
1442,FBE 565,,,,,"GSBA 548, GSBA 521",
1443,FBE 588,,RED 562,,,,
1444,ACMD 592,,,,,ACMD 591,
1445,PM 513,,,,,PM 510,
1446,ACCT 557,,,,,ACCT 525,
1447,ACCT 585,,,,ACCT 572,,
1448,DSO 528,,IOM 528,,,,"csr01370, csr01374, csr02393"
1449,DSO 530,,IOM 530,,,,
1450,ACCT 546,,,,ACCT 525,,
1451,ACCT 549,,,,ACCT 547,,csr02064
1452,ARCH 705,,,,,"ARCH 605, ARCH 702",
1453,ARCH 793,,,,,"ARCH 605, ARCH 702",
1454,ARCH 795,,,,,"ARCH 605, ARCH 702",
1455,AME 509,,,,,AME 403,
1456,AME 535,,,,AME 526,,
1457,ASTE 545,,,,ASTE 501,,
1458,MASC 576,,,,,MASC 575,
1459,MATH 504,,,,,"MATH 502, MATH 501",
1460,AME 516,,,,,"AME 331, AME 457, AME 526",
1461,CE 541,,,,,CE 541,
1462,CE 542,,,,,"CE 428, CE 507",
1463,GERO 551,,,,,GERO 540,
1464,EDUC 672,,EDUC 501,,,,
1465,EDUC 675,,EDUC 504,,,,
1466,EDUC 676,,EDUC 505,,,,
1467,INF 559,ISE 559,INF 551,,,,"csr02570, csr00131, csr02397, csr00096, csr02034, csr00116, csr00027, csr01312, csr01531, csr00028"
1468,ISE 529,INF 561,,,,,"csr00100, csr00351, csr02503, csr00103, csr02031"
1469,ISE 533,,,,,"ISE 529, ISE 530",
1470,CTAN 536,,CTAN 436,,,,
1471,CTAN 547,,,,,CTAN 544,
1472,CTAN 555,,,,,CTAN 547,
1473,PSYC 537,,,,,"PSYC 530, PSYC 536",
1474,PSYC 596,,,,,PSYC 530,
1475,PM 511,,,,,PM 510,
1476,PM 517,,,,,"PM 511, PM 518",
1477,PM 518,,,,,PM 512,
1478,PM 523,,,,,"PM 511, PM 513",
1479,PM 527,,,,,PM 512,
1480,PM 515,,,,,PM 511,
1481,PM 516,,,,,PM 510,"udc00054, csr00012, csr00921, csr01349, csr01393"
1482,PM 529,,,,,PM 512,
1483,PM 533,,,,,"PM 543, PM 518, PM 511, PM 510, PM 512",
1484,PM 551,,,PM 522,,"PM 511, PM 512",
1485,PM 569,,,,,PM 511,udc00167
1486,PM 575,,,,,"PM 511, PM 518",
1487,PM 579,,,,PM 511,,
1488,PM 588,,,,,"PM 527, PM 512",
1489,MATH 510,,,,,"MATH 410, MATH 471","udc00151, udc00152, udc00150"
1490,MATH 520,,,,,MATH 425,"csr01158, csr02432"
1491,MATH 525,,,,,MATH 425,
1492,MATH 535,,,,,MATH 440,
1493,MATH 540,,,,,MATH 440,
1494,MATH 555,,,,,MATH 425,udc00158
1495,MATH 565,,,,,MATH 425,udc00158
1496,MATH 507,,,,,"MATH 525, MATH 570","khn00877, khn00897, khn00927, khn00937, khn00947, khn00881, khn00901, khn00911, khn00871, khn00891"
1497,MATH 541,,,,,MATH 541,"csr00649, csr00456"
1498,MATH 502,,,,,"MATH 425, MATH 471",
1499,MATH 601,,,,,MATH 502,
1500,THTR 577,,,,THTR 587,,
1501,THTR 578,,,,"THTR 521, THTR 544",,
1502,THTR 588,,,,,THTR 587,
1503,THTR 598,,,,,THTR 588,
1504,ARCH 575,,,,ARCH 505,,csr01634
1505,ARCH 605,,,,,ARCH 505,
1506,ASTE 523,,,,ASTE 520,,
1507,ASTE 527,,,,ASTE 520,,
1508,ASTE 529,,,,ASTE 520,,
1509,ASTE 554,,,,ASTE 520,,
1510,ASTE 570,,,,,ASTE 470,
1511,ASTE 572,,,,,ASTR 470,
1512,ASTE 574,,,,ASTE 470,,
1513,ASTE 581,,,,,ASTE 580,
1514,ASTE 583,,,,ASTE 580,,
1515,ASTE 585,,,,,"AME 451, EE 482",
1516,ASTE 589,,,,,ASTE 580,csr00662
1517,BME 525,,,,,"BME 513, EE 483",
1518,BME 527,INF 562,,,,,
1519,BME 528,INF 563,,,,,
1520,EE 569,,,,EE 503,,"csr01122, csr00373"
1521,BME 511,,,,BME 513,,
1522,PM 534,,,,,"PM 522, PM 518",
1523,PM 544,,,,,"PM 522, PM 510",
1524,PM 552,,,,,"PM 518, MATH 408",
1525,PM 603,,,,,PM 511,
1526,PM 604,,,,PM 511,,
1527,MATH 542,,,,,"MATH 226, MATH 208, MATH 225",
1528,MATH 543,,,,,"MATH 226, MATH 208",
1529,MATH 545,,,,,"MATH 226, MATH 208, MATH 225",udc00180
1530,MATH 547,,,,,"MATH 407, MATH 408",
1531,MATH 548,,,,,"MATH 407, MATH 408",
1532,MATH 550,,,,,MATH 208,
1533,ARCH 692,,,,,ARCH 596,"csr00101, csr00055"
1534,DSO 522,,IOM 522,,"GSBA 516, GSBA 506, GSBA 545, GSBA 524",,udc00180
1535,DSO 536,,DSO 532,DSO 516,,,
1536,DSO 547,,IOM 547,,,,
