"id","name","description","prerequisite","preparation","crosslist","corequisite","duplicate","similarity"
"COMM 422","Legal Issues and New Media","Examines laws and regulatory policies shaping new media , especially the Internet ; impact of regulation on development and use of communication technology .","","","","","",""
"COMM 427","COMM 427 Topics in Media Economics , Law and Policy","Selected current topics in the overlapping areas of media economics , law , and policy .","","","","","",""
"COMM 489","Campaign Communication","Problems in political communication : creating an informed electorate , use of mass media , factors in voter persuasion . Guest experts in political analysis , opinion polling , communication evaluation .","","","","","",""
"JOUR 462","Law of Mass Communication","Press law ; government controls on the news media ; legal responsibilities of the journalist .","","","","","",""
"COMM 350","Video Games : Content , Industry , and Policy","Introduction to the medium ; history of video games ; video games as aesthetic products , cultural products , economic outputs ; policy issues , effects , and sites of community .","","","","","",""
"COMM 431","Global Strategy for the Communications Industry","Addresses the practical and theoretical aspects of the international economy that are most relevant to management strategy in the communications industry .","","","","","","csr00674/0.304;csr00772/0.304"
"COMM 449","COMM 449 Perspectives on the Networked Press","Critical survey of the forces defining today’s networked press , examining the people , technologies , and institutions that produce news in today’s online environments .","","COMM 309","","","",""
"COMM 486","Human and Technological Systems in Organizations","How communication and information technologies are linked to organizational control , design , cultures ; technology and competitive advantage ; ethics and policy issues ; technology-mediated work .","","COMM 385","","","",""
"COMM 498","Ethical Issues in Entertainment and Communication","Examines social and political controversies over conflicting ethical standards for communication in a variety of media : mass-media , communication technology , and entertainment . ","COMM 310","","","","",""
"ITP 479","Cyber Law and Privacy","Cyber legal issues , search and seizure , 4th amendment and digital evidence , private searches , case law relating to search and seizure .","","","","","","khn00402/0.335;khn00412/0.335;khn00422/0.335;khn00432/0.335;khn00442/0.335;khn00452/0.335;khn00462/0.335;khn00445/0.32449999999999996;khn00455/0.32449999999999996;khn00465/0.32449999999999996"
"ITP 445","Macintosh , OSX , and iOS Forensics","Digital forensics . Digital evidence . Apple . Mac . Macintosh . OSX . iOS . iPhone . iPad . ","ITP 375","","","","",""
"ITP 446","Cyber Breach Investigations","Cyber breaches . Data theft . Enterprise data analysis . Network forensic analysis . Server forensics . ","ITP 375","","","","",""
"ITP 447","Mobile Device Security and Forensics","Mobile device security . Mobile device forensics . Android . Blackberry . Windows phone . Symbian . ","ITP 375","","","","",""
"ITP 448","Cyber Litigation Support","Civil Litigation . Digital and Electronic Evidence . Electronic Discovery . eDiscovery . Electronically Stored Information . ","ITP 375","","","","",""
"ITP 365","ITP 365 Managing Data in C++","Overview of basic data structures and algorithms including linked lists , stacks , queues , binary trees , and hash tables . ","ITP 109;ITP 115;ITP 165","","ACAD 365","","","csr00954/0.4565;csr00056/0.447;csr02597/0.3285;csr01574/0.312;csr01988/0.312;csr01988/0.312;csr00478/0.308"
"ITP 341","ITP 341 App Development for Phones and Tablets","Develop phone and tablet applications for opensource platforms such as Android that utilize the core functionality of mobile devices such as GPS , accelerometers , touch gestures . ","CSCI 104;ITP 365","","","","",""
"ITP 342","ITP 342 Mobile Application Development","Develop applications for mobile devices such as iPhones and iPads (iOS) and other smart phones (Android) . Build a mobile application from start to finish . ","CSCI 104;ITP 365","","ACAD 342","","",""
"CE 461","General Construction Estimating","Theory of estimating . Quantity surveying ; unit cost synthesis and analysis . Bid organization and preparation ; competitive simulations and exercises .","","","","","",""
"CE 462","Construction Methods and Equipment","Current procedures in selected fields of construction ; organization and planning ; equipment economics ; machinery .","","","","","","csr00315/0.305"
"CE 469","Sustainable Design and Construction","Leadership in Energy and Environmental Design (LEED) ; Green Building strategies ; Carbon Footprinting ; calculating the embodied energy of building materials ; cyclical processes in design and construction .","","","","","",""
"CE 470","Building Information Modeling and Integrated Practice","Building Information Modeling , current BIM technologies ; coordination of design and construction ; information management throughout building lifecycle ; project delivery systems and technologies for integrated practice .","","","","","",""
"FBE 400","FBE 400x Introduction to Real Estate Finance and Development","Case analysis examining economic and financial aspects of real estate decisions for non-business majors . Focuses on dynamics of financing , markets and the development process .","","","","","FBE 200",""
"CE 404","CE 404 Business and Intellectual Property Law for Engineers","An examination of legal issues confronting the professional engineer . Topics include the legal system , contracts , risk management , forms of doing business , capital formation and intellectual property rights .","","","","","",""
"CE 412","Construction Law and the Property Development Process","Legal aspects of property development and construction : land use , construction practices and specifications , architecture and engineering contracts , agency , subcontracting , professional registration , liability , insurance , liens , and bonds .","","CE 404","","","",""
