"id","name","description","prerequisite","preparation","crosslist","corequisite","duplicate","similarity"
"AMST 365","Leadership in the Community — Internship","Eight to 10 hours per week in a community-based internship plus two hour lecture . Theoretical and practical issues associated with community leadership .","","","","","",""
"AMST 385","African American Culture and Society","Examines social and cultural issues affecting the past and present lives of African Americans in the United States .","","","","","",""
"AMST 395","AMST 395m African American Humor and Culture","Examination of one of several traditions of African American humor for insights into shifting notions of race , culture , language and identity in and beyond Black America .","","","","","",""
"AMST 448","AMST 448m Chicano and Latino Literature","Development of poetry , essay , short story and novel of the Chicano and Latino peoples of the United States , with particular emphasis on the differentiating characteristics between the multiple cultures that constitute the Latino populations .","","","","","ENGL 448",""
"AMST 449","AMST 449m Asian American Literature","Survey of Asian American literature from the earliest time to the present ; development of prose , poetry and novel .","","","","","",""
"ENGL 343","ENGL 343m Images of Women in Contemporary Culture","Representations of women and gender relations in contemporary literature and mass culture , using the tools of feminist , literary , and political theory .","","","SWMS 343","","ENGL 476",""
"AHIS 363","AHIS 363m Contemporary Art and the Culture Wars","Focuses on issues of race , gender , and sexuality in American art of the last three decades .","","AHIS 121","SWMS 363","","",""
"AHIS 370","AHIS 370g Modern Art III : 1940 to the Present","Questions of social engagement and political structure address this examination of major international movements in art since 1940 .","","","","","",""
"CTCS 392","History of the American Film , 1925–1950","Screenings of American film classics and their relationship to society . Lectures and discussions .","","","","","",""
"CTCS 393","CTCS 393 Postwar Hollywood , 1946-1962","Cinematic and extra-cinematic determinants of Post-Classical and Modernist Hollywood studio and independent genres , styles , and the star-phenomenon and their relationship to American history and culture .","","","","","",""
"CTCS 394","History of the American Film , 1977–present","Cinematic and extra-cinematic determinants of Postmodernist Hollywood studio and independent genres , styles , and the star-phenomenon and their relationship to American history and culture .","","","","","",""
"ENGL 371","ENGL 371g Literary Genres and Film","Literary studies in the relationship between fiction and drama and their adaptation as films .","","","","","ENGL 471",""
"ENGL 375","Science Fiction","Investigation of the scope and possibilities of British and American science fiction as a genre , with some attention to its historical development .","","","","","",""
"ENGL 381","ENGL 381 Narrative Forms in Literature and Film","Critical approaches to narrative form in literature and film ; readings and films from several genres and periods , emphasis on gender , ethnic , and cultural studies .","","","","","ENGL 481",""
"HIST 481","Producing Film Histories","History of film form and its institutions . Students will produce an original written or multimedia research project .","","","","","",""
"MUJZ 419","MUJZ 419m The Jazz Experience : Myths and Culture","An examination of the music , culture , and mythology of jazz revealed through the study of jazz fiction , film , poetry , and recorded examples .","","","","","",""
"MUSC 422","The Beatles : Their Music and Their Times","Music , lyrics , recordings , production techniques , career strategy , social ramifications , and especially the technological impact of the musical group known as The Beatles .","","","","","",""
"AHIS 100","AHIS 100g Introduction to Visual Culture","The description and analysis of various forms of visual culture , including both mass media and “high” art representations , both Western and non-Western images .","","","","","",""
"AHIS 250","Critical Approaches to Modern Art","Consideration of various categories of “The Modern” as they have been constructed in Western art of the late 19th and 20th centuries .","","","","","",""
"AHIS 255","AHIS 255g Culture Wars : Art and Social Conflict in the Modern World","Examination of social conflicts and political controversies in American culture through the lens of visual art and photography .","","","","","",""
"AHIS 270","L .A . Now : Contemporary Art in Los Angeles","Explores the production , display and critical reception of contemporary art , taking Los Angeles as its laboratory .","","","","","",""
"AHIS 364","Myths , Arts , Realities : Visual Culture in California , 1849 to the Present","Diverse interpretations of “the California experience and lifestyle” in paintings , sculpture , photography , cinema , public art and popular culture of the last 150 years .","","","","","",""
"AHIS 365","AHIS 365m African American Art","A survey of the fine arts produced by people of African descent in the United States from the nation’s inception in the late 18th century until the contemporary movement .","","","","","",""
"ANTH 240","ANTH 240gm Representing 9/11 and Hurricane Katrina","Critical examination of visual , textual , and performative representations of culture and identity anchored by discussion of the terrorist attacks of 9/11 and Hurricane Katrina","","ANTH 263","AMST 240","","",""
"ANTH 263","ANTH 263g Exploring Culture through Film","Concepts of social anthropology using filmic representations of societies throughout the world in contrast to written ethnography .","","","","","",""
"ANTH 380","ANTH 380 Sex and Gender in Anthropological Perspective","Cultural construction of gender in a number of non-Western societies is compared to ideas of sex and sexual differences in American society .","","","","","",""
"ANTH 470","Multidisciplinary Seminar in Visual Anthropology","IrregularApplication of broad cast journalism , cinema , and anthropology to ethnographic film making .","","","","","",""
"COMM 206","COMM 206 Communication and Culture","Examines cultural institutions , ideologies , artifacts , and productions ; role of culture in everyday life ; cultural studies as methodology ; culture and power .","","","","","",""
"COMM 307","Sound Clash : Popular Music and American Culture","Music as inter-cultural communication and method for exploring race and ethnicity in the constitution of American culture and American self ; role of music industry .","","","","","",""
"COMM 310","Media and Society","Interplay between media and society , including family and children’s socialization , inter-group relations and community , pornography and violence , gender and race , media ethics , conduct of politics .","","","","","",""
"COMM 312","The Business and Culture of Celebrity","Employs the concept of “celebrity” as an optic through which to view and assess some of the key aspects of the communication revolution .","","","","","",""
"COMM 360","The Rhetoric of Los Angeles","Representations of Los Angeles communicated in diverse media ; the city as a rhetorical text ; analysis of cultural identities , art , architecture , and representations in popular culture .","","","","","",""
"COMM 366","COMM 366 Designing Media and Communication Projects for Social Change","Students explore the theoretical and practical issues involved in designing effective media and communication projects for social change in international contexts .","","","","","","udc00200/0.301"
"COMM 371","COMM 371 Censorship and the Law : From the Press to Cyberspace","The study of current and historical battles over the limits of free expression from press and public parks to television , movies , music and cyberspace .","","","","","JOUR 371",""
"COMM 396","Fashion , Media and Culture","shion as a form of communication and culture ; fashion’s role in identity , body politics , art , nationhood , celebrity and Hollywood culture , youth cultures and subversive practices .","","","","","",""
"COMM 413","COMM 413 Propaganda , Ideology and Public Controversy","Seminar examining the relationship between propaganda , ideology , critical thinking and rhetoric ; application to contemporary controversies , both domestic and global ; role of public argument .","","","","","COMM 370",""
